site,treatment,interaction,site,treatment,datafrom,0.025quantile,0.975quantile,mean_expectedHR
CI20,14,x,CI20,20,coefficients_ci20,-0.8461156,-0.3989074,-0.6131047
CI20,14,x,CI5,14,coefficients_ci20,-0.12113518,0.25182733,0.06924519
CI20,14,x,DB,14,coefficients_ci20,-0.7684656,-0.3476066,-0.5468041
CI20,14,x,PW,14,coefficients_ci20,-0.5183804,-0.1752211,-0.3579036
CI20,14,x,CI5,20,coefficients_ci20,-0.05025583,0.56788005,0.26152502
CI20,14,x,DB,20,coefficients_ci20,0.1271221,0.7249457,0.4157651
CI20,14,x,PW,20,coefficients_ci20,-0.1225722,0.4649601,0.1764924
CI20,20,x,CI5,14,coefficients_CI20_20C_others_14,0.4542808,0.9023313,0.6788641
CI20,20,x,DB,14,coefficients_CI20_20C_others_14,-0.18461562,0.31874394,0.06848895
CI20,20,x,PW,14,coefficients_CI20_20C_others_14,0.03951832,0.49314747,0.25459977
CI20,20,x,CI5,20,coefficients_CI20_20Cref,0.301977,0.7159772,0.4946326
CI20,20,x,DB,20,coefficients_CI20_20Cref,-0.26092665,0.18751157,-0.03009142
CI20,20,x,PW,20,coefficients_CI20_20Cref,-0.17143685,0.24826746,0.03112226
CI5,14,x,CI5,20,coefficients_ci5,-0.5520291,-0.1161921,-0.342337
CI5,14,x,DB,14,coefficients_ci5,-0.8223597,-0.390531,-0.6017988
CI5,14,x,PW,14,coefficients_ci5,-0.6083624,-0.2292616,-0.4171582
CI5,14,x,DB,20,coefficients_ci5,-0.38825049,0.19572452,-0.08828997
CI5,14,x,PW,20,coefficients_ci5,-0.52311702,0.04885746,-0.24693159
CI5,20,x,DB,14,coefficients_CI5_20C_DBPW_14C,-0.4980607,-0.03601562,-0.2657129
CI5,20,x,PW,14,coefficients_CI5_20C_DBPW_14C,-0.28873144,0.11970654,-0.07578335
CI5,20,x,DB,20,coefficients_CI5_20C,-0.7029296,-0.2009248,-0.4535422
CI5,20,x,PW,20,coefficients_CI5_20C,-0.7259525,-0.2709722,-0.5039796
DB,14,x,DB,20,coefficients_DB5ref,-0.42307687,0.04472993,-0.19964401
DB,14,x,PW,20,coefficients_DB5ref,-0.52311702,0.04885746,-0.24693159
DB,14,x,PW,14,coefficients_DB5ref,-0.002898302,0.422770098,0.201093
DB,20,x,PW,20,coefficients_DB5_20C,-0.27614718,0.19025152,-0.04509889
PW,14,x,PW,20,coefficients_PW5ref,-0.69782,-0.2642322,-0.4735696
