<<<<<<< HEAD
"","coefficients","replicate","pval","treatment_site"
"siteCI5...1",0.531538436585282,1,2.10720275510482e-89,"siteCI5"
"siteDB...2",0.0358166530895624,1,0.170008664233893,"siteDB"
"sitePW...3",0.190649979079002,1,1.7779021114976e-13,"sitePW"
"siteCI5...4",0.784011097162968,2,2.25634528690632e-181,"siteCI5"
"siteDB...5",0.121590621769894,2,1.10383735669182e-05,"siteDB"
"sitePW...6",0.233902186574362,2,1.81155680202174e-17,"sitePW"
"siteCI5...7",0.80897019115762,3,3.26441350281152e-204,"siteCI5"
"siteDB...8",0.150186868431938,3,3.16281093013895e-08,"siteDB"
"sitePW...9",0.177178413089098,3,9.12650385140376e-11,"sitePW"
"siteCI5...10",0.636554218992662,4,2.18186136907556e-120,"siteCI5"
"siteDB...11",0.114759404689144,4,2.41619514015338e-05,"siteDB"
"sitePW...12",0.365763307072698,4,1.13218649078573e-42,"sitePW"
"siteCI5...13",0.757774329597558,5,5.10116925786749e-168,"siteCI5"
"siteDB...14",0.129400753268207,5,2.78634193057621e-06,"siteDB"
"sitePW...15",0.222440063054552,5,7.46621567977104e-16,"sitePW"
"siteCI5...16",0.745712946161054,6,2.9201232308031e-164,"siteCI5"
"siteDB...17",0.199073226630256,6,3.0007588426418e-13,"siteDB"
"sitePW...18",0.281470639990535,6,7.70315182090959e-25,"sitePW"
"siteCI5...19",0.640783481882822,7,3.06936251703168e-119,"siteCI5"
"siteDB...20",0.0784290858865367,7,0.00423615613039247,"siteDB"
"sitePW...21",0.307606697690197,7,1.20906156518492e-29,"sitePW"
"siteCI5...22",0.712265457132146,8,7.03384096037568e-158,"siteCI5"
"siteDB...23",0.0657630958909399,8,0.0154172910260577,"siteDB"
"sitePW...24",0.189837467683454,8,1.54008345660295e-12,"sitePW"
"siteCI5...25",0.641856289291807,9,1.70765503893362e-137,"siteCI5"
"siteDB...26",-0.184518338271397,9,1.38532139410934e-11,"siteDB"
"sitePW...27",0.125783389934573,9,1.19581577453805e-06,"sitePW"
"siteCI5...28",0.636300169134502,10,4.5182206637727e-132,"siteCI5"
"siteDB...29",0.0492610641017783,10,0.063101940275331,"siteDB"
"sitePW...30",0.0599574551089123,10,0.027094897131696,"sitePW"
"siteCI5...31",0.797797426979198,11,7.2369297040307e-177,"siteCI5"
"siteDB...32",0.207409574353191,11,2.48172118729236e-13,"siteDB"
"sitePW...33",0.407338217788115,11,2.41164387811042e-48,"sitePW"
"siteCI5...34",0.546424398711619,12,2.09390599406722e-97,"siteCI5"
"siteDB...35",-0.0213868002893986,12,0.408804310272039,"siteDB"
"sitePW...36",0.159938245131953,12,2.0838047218602e-10,"sitePW"
"siteCI5...37",0.663920989484619,13,2.77977961275381e-127,"siteCI5"
"siteDB...38",-0.0154484339827987,13,0.581854796305914,"siteDB"
"sitePW...39",0.295985986646351,13,7.56310972270398e-28,"sitePW"
"siteCI5...40",0.724261990799027,14,1.03393929765533e-152,"siteCI5"
"siteDB...41",-0.0197272815610792,14,0.487101814177809,"siteDB"
"sitePW...42",0.223447151975701,14,4.05096864499111e-16,"sitePW"
"siteCI5...43",0.661580706336824,15,2.54020825956052e-133,"siteCI5"
"siteDB...44",0.00854964463417147,15,0.754187449922796,"siteDB"
"sitePW...45",0.329349442069605,15,5.54510048683457e-37,"sitePW"
"siteCI5...46",0.782040810278922,16,2.43276563452764e-195,"siteCI5"
"siteDB...47",0.157724718423522,16,1.40868501943388e-09,"siteDB"
"sitePW...48",0.120898694241686,16,5.82722244163103e-06,"sitePW"
"siteCI5...49",0.640138975688297,17,5.12144594239853e-129,"siteCI5"
"siteDB...50",-0.0297282079892284,17,0.279080716996235,"siteDB"
"sitePW...51",0.164828254999594,17,1.10394087493461e-09,"sitePW"
"siteCI5...52",0.710612705196764,18,7.65922169471708e-152,"siteCI5"
"siteDB...53",0.039324149819881,18,0.163227721510473,"siteDB"
"sitePW...54",0.180301452139735,18,1.02722257464723e-10,"sitePW"
"siteCI5...55",0.455163520349786,19,1.42334402712126e-64,"siteCI5"
"siteDB...56",-0.00797251996616869,19,0.761399600003293,"siteDB"
"sitePW...57",0.199776530016516,19,1.02280980005199e-14,"sitePW"
"siteCI5...58",0.855233007735873,20,1.57125744006224e-214,"siteCI5"
"siteDB...59",0.0822991993311125,20,0.003860133092983,"siteDB"
"sitePW...60",0.454930905812995,20,2.9394618045798e-63,"sitePW"
"siteCI5...61",0.553315285121735,21,4.29758574425514e-105,"siteCI5"
"siteDB...62",-0.114241247154093,21,1.22658885169547e-05,"siteDB"
"sitePW...63",-0.103275833433595,21,0.000102883516024464,"sitePW"
"siteCI5...64",0.771020389795737,22,2.45985747561874e-180,"siteCI5"
"siteDB...65",0.173562701408245,22,2.30436258080847e-10,"siteDB"
"sitePW...66",0.264096239726492,22,1.43016559198413e-22,"sitePW"
"siteCI5...67",0.74338153215692,23,3.53978415888904e-150,"siteCI5"
"siteDB...68",0.133980538215024,23,4.04531322248117e-06,"siteDB"
"sitePW...69",0.252743116448345,23,1.35558552262772e-18,"sitePW"
"siteCI5...70",0.709828239177405,24,9.96884302634395e-151,"siteCI5"
"siteDB...71",-0.0132404486312657,24,0.639074550726718,"siteDB"
"sitePW...72",0.319034183129385,24,5.19940617464696e-33,"sitePW"
"siteCI5...73",0.880709647858593,25,5.50544248109512e-238,"siteCI5"
"siteDB...74",0.105405031348131,25,0.000146125595729119,"siteDB"
