<<<<<<< HEAD
"","coefficients","replicate","pval","treatment_site"
"siteCI5...1",0.330148315906251,1,1.27848178590773e-43,"siteCI5"
"siteDB...2",-0.0712191631139628,1,0.00252997944108376,"siteDB"
"sitePW...3",-0.052273194170294,1,0.0267831231638546,"sitePW"
"siteCI5...4",0.568276433336428,2,1.00877827932338e-117,"siteCI5"
"siteDB...5",0.0301816222029791,2,0.223340994237245,"siteDB"
"sitePW...6",0.0183995175268842,2,0.458245091049362,"sitePW"
"siteCI5...7",0.515281108998796,3,1.89538077605446e-97,"siteCI5"
"siteDB...8",-0.0393459673894186,3,0.113748322320367,"siteDB"
"sitePW...9",-0.0165112576014205,3,0.504292899980637,"sitePW"
"siteCI5...10",0.493234016693559,4,1.82471095118495e-89,"siteCI5"
"siteDB...11",-0.0450801631716389,4,0.0686899414200254,"siteDB"
"sitePW...12",0.115847543865189,4,1.87991493608347e-06,"sitePW"
"siteCI5...13",0.49113100654799,5,2.78334040010115e-87,"siteCI5"
"siteDB...14",0.0150767785410506,5,0.543421512546795,"siteDB"
"sitePW...15",0.0713156175230097,5,0.00377234063676102,"sitePW"
"siteCI5...16",0.604119685186455,6,1.49454944824818e-132,"siteCI5"
"siteDB...17",0.0708618519277468,6,0.00421195395349322,"siteDB"
"sitePW...18",0.10683455809791,6,1.37686470710762e-05,"sitePW"
"siteCI5...19",0.531206922617965,7,2.70440654120329e-103,"siteCI5"
"siteDB...20",-0.0498680963000889,7,0.0442611518271997,"siteDB"
"sitePW...21",0.0666960239173412,7,0.00649484187395597,"sitePW"
"siteCI5...22",0.469363255447943,8,1.70414708299803e-83,"siteCI5"
"siteDB...23",-0.0290107345074834,8,0.236722343373608,"siteDB"
"sitePW...24",-0.046187678766432,8,0.0573702320904577,"sitePW"
"siteCI5...25",0.394945225681017,9,9.91716292511607e-65,"siteCI5"
"siteDB...26",-0.293423984274359,9,2.85461793228543e-34,"siteDB"
"sitePW...27",-0.111850826951085,9,1.75803026514813e-06,"sitePW"
"siteCI5...28",0.450144524810909,10,1.01576027293145e-81,"siteCI5"
"siteDB...29",-0.136302698558163,10,1.32491155043526e-08,"siteDB"
"sitePW...30",-0.105733790637731,10,9.66789338890976e-06,"sitePW"
"siteCI5...31",0.603187087973823,11,1.31729718049971e-123,"siteCI5"
"siteDB...32",0.072046417428655,11,0.0051946347108739,"siteDB"
"sitePW...33",0.248859435154945,11,7.37422753547313e-23,"sitePW"
