"","coefficients","replicate","pval","treatment_site"
"siteDB...1",-0.114282169415758,1,2.92428043443623e-06,"siteDB"
"sitePW...2",0.0397727115899199,1,0.100211390490424,"sitePW"
"siteDB...3",-0.272867082098953,2,2.47980475551032e-28,"siteDB"
"sitePW...4",-0.160571754390339,2,5.54000881467689e-11,"sitePW"
"siteDB...5",-0.0630305620700981,3,0.0125553674147688,"siteDB"
"sitePW...6",-0.0273931980685572,3,0.281984521326185,"sitePW"
"siteDB...7",-0.247779043585226,4,1.76398464164063e-23,"siteDB"
"sitePW...8",0.00189712273205055,4,0.937717623993121,"sitePW"
"siteDB...9",-0.130575557768185,5,2.22519456522624e-07,"siteDB"
"sitePW...10",-0.0302900338424435,5,0.228472479671689,"sitePW"
"siteDB...11",-0.300438363736436,6,6.61221019720818e-35,"siteDB"
"sitePW...12",-0.21256530854331,6,2.83451488528376e-18,"sitePW"
"siteDB...13",-0.360736487814295,7,1.32537741201879e-48,"siteDB"
"sitePW...14",-0.127732914835852,7,1.55261756910494e-07,"sitePW"
"siteDB...15",-0.175408386097912,8,1.09364746693592e-12,"siteDB"
"sitePW...16",-0.0453960988650591,8,0.0618280667082418,"sitePW"
"siteDB...17",-0.350496383317405,9,5.93634623513266e-44,"siteDB"
"sitePW...18",-0.0387809018862195,9,0.101471545771553,"sitePW"
"siteDB...19",-0.243345770977359,10,2.9550094888068e-24,"siteDB"
"sitePW...20",-0.219517186455453,10,5.29359371683346e-19,"sitePW"
"siteDB...21",-0.246592453851198,11,6.24403932549588e-24,"siteDB"
"sitePW...22",-0.0493546879599349,11,0.0385721208084967,"sitePW"
"siteDB...23",-0.150217053644261,12,7.51589064120022e-10,"siteDB"
"sitePW...24",0.0434760321682619,12,0.0658991681686825,"sitePW"
"siteDB...25",-0.392307174296571,13,3.5866544755807e-58,"siteDB"
"sitePW...26",-0.0896081426769082,13,0.000113107285824516,"sitePW"
"siteDB...27",-0.439448337294001,14,1.34697884936058e-64,"siteDB"
"sitePW...28",-0.197910153522216,14,1.51234371234157e-15,"sitePW"
"siteDB...29",-0.142479106846441,15,2.9888616840885e-08,"siteDB"
"sitePW...30",0.190139518744866,15,4.26182938316771e-15,"sitePW"
