"","coefficients","replicate","pval","treatment_site"
"sitePW...1",-0.0984809210964868,1,8.09199127614505e-05,"sitePW"
"sitePW...2",-0.112043733848362,2,1.02338268330938e-05,"sitePW"
"sitePW...3",0.0612985768003348,3,0.0197799586353785,"sitePW"
"sitePW...4",0.126120424290877,4,1.27928091533243e-06,"sitePW"
"sitePW...5",0.0478877777977654,5,0.051953557055376,"sitePW"
"sitePW...6",0.0273615291896297,6,0.272765702137832,"sitePW"
"sitePW...7",0.0433484417577368,7,0.0920043095875028,"sitePW"
"sitePW...8",-0.127857563444877,8,4.81922925505532e-07,"sitePW"
"sitePW...9",0.0678418543286843,9,0.00864600168535588,"sitePW"
"sitePW...10",0.0906623620058092,10,0.000405194435608016,"sitePW"
"sitePW...11",0.190881909860248,11,1.52639225467593e-14,"sitePW"
"sitePW...12",-0.237847047772766,12,6.11907197825429e-20,"sitePW"
"sitePW...13",0.0802764227084805,13,0.000797677342566611,"sitePW"
"sitePW...14",0.0206664527391246,14,0.42615760981953,"sitePW"
"sitePW...15",-0.163646986466065,15,8.32732887884159e-11,"sitePW"
"sitePW...16",-0.0291988677417186,16,0.255059833080332,"sitePW"
"sitePW...17",-0.261936655046192,17,3.05625138631173e-24,"sitePW"
"sitePW...18",0.0234843825663551,18,0.37484213948695,"sitePW"
"sitePW...19",-0.00260538974030757,19,0.917238947786993,"sitePW"
"sitePW...20",0.249392076739784,20,6.77450817592451e-24,"sitePW"
"sitePW...21",0.0492087594057685,21,0.0587018760771081,"sitePW"
"sitePW...22",-0.0368079728391737,22,0.129748802914331,"sitePW"
"sitePW...23",-0.0521532318364463,23,0.0377570670621737,"sitePW"
"sitePW...24",0.0514654454229655,24,0.0428328560355021,"sitePW"
"sitePW...25",0.145413490364523,25,5.92083768701895e-09,"sitePW"
"sitePW...26",-0.136627611124968,26,1.23202075246709e-08,"sitePW"
"sitePW...27",0.0767554167414343,27,0.00191108615562993,"sitePW"
"sitePW...28",0.0695361400060157,28,0.00602629662583713,"sitePW"
"sitePW...29",0.020953356895082,29,0.414826829469293,"sitePW"
"sitePW...30",-0.103303993594224,30,5.28596745771335e-05,"sitePW"
"sitePW...31",-0.0888987964773622,31,0.000441328119022512,"sitePW"
"sitePW...32",-0.0063137034326704,32,0.784802089814278,"sitePW"
"sitePW...33",-0.0342124758384115,33,0.193110663438833,"sitePW"
"sitePW...34",0.0155579150616301,34,0.540304386551231,"sitePW"
"sitePW...35",0.00976866411031228,35,0.683979436591747,"sitePW"
"sitePW...36",-0.0851944025968219,36,0.000818100913751461,"sitePW"
"sitePW...37",-0.056865940281008,37,0.0234567923498775,"sitePW"
"sitePW...38",-0.093698459197846,38,0.000214943234467821,"sitePW"
"sitePW...39",-0.0137769965648143,39,0.594312554912296,"sitePW"
"sitePW...40",-0.258910560668229,40,2.18058296773946e-25,"sitePW"
"sitePW...41",0.127684392681064,41,5.92791777124513e-07,"sitePW"
"sitePW...42",-0.175524091030815,42,3.13429842373809e-11,"sitePW"
"sitePW...43",0.0391826562221918,43,0.121519968402245,"sitePW"
"sitePW...44",-0.15276321991319,44,2.76018493423904e-10,"sitePW"
"sitePW...45",0.0209932381287696,45,0.392688972440798,"sitePW"
"sitePW...46",-0.111318392259331,46,7.86617771003928e-06,"sitePW"
"sitePW...47",-0.0358276428340576,47,0.15347352310498,"sitePW"
"sitePW...48",-0.0801228556263938,48,0.00168922687210887,"sitePW"
"sitePW...49",0.0515642206163481,49,0.0450485769660381,"sitePW"
"sitePW...50",-0.146428305112979,50,3.9394028636758e-09,"sitePW"
"sitePW...51",-0.161383379415645,51,4.11369103298695e-10,"sitePW"
"sitePW...52",0.0838939701437284,52,0.000934271976446642,"sitePW"
"sitePW...53",-0.0495616109728669,53,0.0567326570124827,"sitePW"
"sitePW...54",-0.0458981126636041,54,0.0753073963420919,"sitePW"
"sitePW...55",-0.175905614654178,55,2.13453269746199e-12,"sitePW"
"sitePW...56",-0.311422727752512,56,4.79543055157194e-34,"sitePW"
"sitePW...57",0.0139567927562571,57,0.575552897000576,"sitePW"
"sitePW...58",0.145602702747083,58,1.17214139264574e-08,"sitePW"
"sitePW...59",-0.201428069726376,59,1.06606524015849e-15,"sitePW"
"sitePW...60",0.00845257280233419,60,0.720558637155951,"sitePW"
