"","coefficients","replicate","pval","treatment_site"
"treatment20C...1",-0.522564876874624,1,1.05441577504662e-103,"treatment20C"
"treatment20C...2",-0.452119477967568,2,1.9746940657847e-72,"treatment20C"
"treatment20C...3",-0.400367474455289,3,4.28770348475181e-59,"treatment20C"
"treatment20C...4",-0.519102077521188,4,1.53874624883286e-104,"treatment20C"
"treatment20C...5",-0.316445318404032,5,1.12947971024149e-38,"treatment20C"
"treatment20C...6",-0.35149265159231,6,2.24573250807889e-48,"treatment20C"
"treatment20C...7",-0.484193153195284,7,2.56756668091361e-87,"treatment20C"
"treatment20C...8",-0.513883966558942,8,1.57070819138734e-99,"treatment20C"
"treatment20C...9",-0.49180990685776,9,4.41734829906214e-92,"treatment20C"
"treatment20C...10",-0.318181428728506,10,3.23507312623976e-37,"treatment20C"
"treatment20C...11",-0.309022446128356,11,4.1360742514084e-40,"treatment20C"
"treatment20C...12",-0.756849036853462,12,3.3729123598872e-205,"treatment20C"
"treatment20C...13",-0.369681355229626,13,9.26623469222731e-57,"treatment20C"
"treatment20C...14",-0.389663831734952,14,2.35870818535445e-54,"treatment20C"
"treatment20C...15",-0.625998022781898,15,3.08368226486971e-153,"treatment20C"
"treatment20C...16",-0.43331600055233,16,1.2557121617938e-67,"treatment20C"
"treatment20C...17",-0.520562641308871,17,1.57877089202177e-89,"treatment20C"
"treatment20C...18",-0.423631566517004,18,1.24833827979779e-62,"treatment20C"
"treatment20C...19",-0.457621722056082,19,4.92894660345715e-83,"treatment20C"
"treatment20C...20",-0.387738106092355,20,1.20263446212503e-65,"treatment20C"
"treatment20C...21",-0.294025614950266,21,3.66948424197764e-31,"treatment20C"
"treatment20C...22",-0.323884842656035,22,4.32007347399211e-42,"treatment20C"
"treatment20C...23",-0.34001959083858,23,5.30637297735829e-43,"treatment20C"
"treatment20C...24",-0.456071238087651,24,6.28663907676425e-83,"treatment20C"
"treatment20C...25",-0.335758437465319,25,1.89997185181359e-46,"treatment20C"
"treatment20C...26",-0.471479655589643,26,1.2334152516233e-89,"treatment20C"
"treatment20C...27",-0.301527273439179,27,1.8714287529011e-36,"treatment20C"
"treatment20C...28",-0.347550664992038,28,3.69979825436938e-45,"treatment20C"
"treatment20C...29",-0.452165951061019,29,4.24511339750357e-76,"treatment20C"
"treatment20C...30",-0.525248542815495,30,2.28914089238415e-99,"treatment20C"
"treatment20C...31",-0.515091312803646,31,9.14856884213357e-96,"treatment20C"
"treatment20C...32",-0.34300340161266,32,2.004492715678e-53,"treatment20C"
"treatment20C...33",-0.51250088634454,33,1.8819261544434e-95,"treatment20C"
"treatment20C...34",-0.440755902841635,34,4.44560934318428e-75,"treatment20C"
"treatment20C...35",-0.47940199270461,35,2.8455517633241e-97,"treatment20C"
"treatment20C...36",-0.589625839399157,36,2.95846976379059e-133,"treatment20C"
"treatment20C...37",-0.502653235471684,37,1.20063435403735e-100,"treatment20C"
"treatment20C...38",-0.440332957274433,38,5.55955724147149e-73,"treatment20C"
"treatment20C...39",-0.389423631174631,39,2.7675127040543e-54,"treatment20C"
"treatment20C...40",-0.584624853416178,40,8.01497895505538e-124,"treatment20C"
"treatment20C...41",-0.482859849964468,41,1.2802675064848e-89,"treatment20C"
"treatment20C...42",-0.618246430294019,42,2.28183590084647e-129,"treatment20C"
"treatment20C...43",-0.372224541632873,43,1.81075241595114e-53,"treatment20C"
"treatment20C...44",-0.284261584110895,44,2.32347038707516e-32,"treatment20C"
"treatment20C...45",-0.44643933889561,45,5.56827713335924e-82,"treatment20C"
"treatment20C...46",-0.487985008194442,46,3.23475279366521e-90,"treatment20C"
"treatment20C...47",-0.427237053601074,47,2.57256682046006e-68,"treatment20C"
"treatment20C...48",-0.500239585199305,48,3.64724136965385e-91,"treatment20C"
"treatment20C...49",-0.430956017133983,49,3.2024116615877e-70,"treatment20C"
"treatment20C...50",-0.5038100870659,50,2.87369532611657e-92,"treatment20C"
"treatment20C...51",-0.666913892182312,51,3.86699275393111e-159,"treatment20C"
"treatment20C...52",-0.462001401933148,52,2.18068670091766e-85,"treatment20C"
"treatment20C...53",-0.637670600211517,53,3.1492298034465e-147,"treatment20C"
"treatment20C...54",-0.546812460896517,54,1.27748843255041e-106,"treatment20C"
"treatment20C...55",-0.532685340183901,55,5.90902946032027e-105,"treatment20C"
"treatment20C...56",-0.528317220858647,56,2.85094210023764e-89,"treatment20C"
"treatment20C...57",-0.521823348346764,57,1.82497076974721e-111,"treatment20C"
"treatment20C...58",-0.262169184722951,58,1.85974387645103e-26,"treatment20C"
"treatment20C...59",-0.421765347193042,59,8.18765586193111e-64,"treatment20C"
"treatment20C...60",-0.285482589990666,60,3.75486569202461e-34,"treatment20C"
"treatment20C...61",-0.240327427805781,61,2.09058607810062e-22,"treatment20C"
"treatment20C...62",-0.541630607923239,62,8.03557425520806e-105,"treatment20C"
"treatment20C...63",-0.567868393128627,63,9.40806104753066e-115,"treatment20C"
"treatment20C...64",-0.262168312023824,64,8.33079900543619e-27,"treatment20C"
"treatment20C...65",-0.312418638048527,65,1.64912011247113e-36,"treatment20C"
"treatment20C...66",-0.540567439949458,66,5.53119739032379e-104,"treatment20C"
"treatment20C...67",-0.550327487328905,67,1.14695738643609e-100,"treatment20C"
"treatment20C...68",-0.481646427713186,68,2.4016681186651e-80,"treatment20C"
"treatment20C...69",-0.562109482516609,69,1.45556648354091e-105,"treatment20C"
"treatment20C...70",-0.626439055483236,70,1.65462148674249e-142,"treatment20C"
"treatment20C...71",-0.528132417398041,71,6.53029170667048e-95,"treatment20C"
"treatment20C...72",-0.566558219146688,72,1.55106270338727e-117,"treatment20C"
"treatment20C...73",-0.386987723227307,73,2.87792199753408e-58,"treatment20C"
"treatment20C...74",-0.401638726215559,74,2.41891258538328e-67,"treatment20C"
"treatment20C...75",-0.620114743987291,75,2.98205601530849e-142,"treatment20C"
"treatment20C...76",-0.43133939733012,76,6.56936275596233e-71,"treatment20C"
"treatment20C...77",-0.426136939655172,77,1.74906877978499e-70,"treatment20C"
"treatment20C...78",-0.648501558367661,78,6.12243056303198e-152,"treatment20C"
"treatment20C...79",-0.306465806658548,79,2.24369048223401e-38,"treatment20C"
"treatment20C...80",-0.440220738132863,80,2.6940674926707e-72,"treatment20C"
"treatment20C...81",-0.494996246902058,81,2.04467684931863e-91,"treatment20C"
"treatment20C...82",-0.461123652712883,82,3.83917657526224e-74,"treatment20C"
"treatment20C...83",-0.374550824703519,83,2.58407166868616e-51,"treatment20C"
"treatment20C...84",-0.404432985519267,84,1.84769833013428e-62,"treatment20C"
"treatment20C...85",-0.482073409641003,85,1.15025221973748e-88,"treatment20C"
"treatment20C...86",-0.505050174795265,86,2.65518439162957e-109,"treatment20C"
"treatment20C...87",-0.4931041663263,87,1.97400865945676e-86,"treatment20C"
"treatment20C...88",-0.426040865455453,88,1.14816114214543e-69,"treatment20C"
"treatment20C...89",-0.336139388987788,89,4.7078407146077e-49,"treatment20C"
"treatment20C...90",-0.541022164591528,90,2.97944152553676e-102,"treatment20C"
"treatment20C...91",-0.520697768886031,91,1.25331678528769e-97,"treatment20C"
"treatment20C...92",-0.707401741525844,92,1.73082149509861e-169,"treatment20C"
"treatment20C...93",-0.420352381408072,93,4.71745679411446e-63,"treatment20C"
"treatment20C...94",-0.6653950578804,94,4.00303672017567e-154,"treatment20C"
"treatment20C...95",-0.408747489941739,95,5.61943156744057e-63,"treatment20C"
"treatment20C...96",-0.543857366475165,96,3.62593769785676e-107,"treatment20C"
"treatment20C...97",-0.487299714449714,97,3.01267369882398e-90,"treatment20C"
"treatment20C...98",-0.626955599255229,98,2.84877750875589e-138,"treatment20C"
"treatment20C...99",-0.446844642024755,99,3.6605518929964e-78,"treatment20C"
"treatment20C...100",-0.395729755606709,100,6.17060589756281e-59,"treatment20C"
"treatment20C...101",-0.420010546582588,101,7.00785040287927e-61,"treatment20C"
"treatment20C...102",-0.30913103565556,102,1.1875715602877e-35,"treatment20C"
"treatment20C...103",-0.402358587166769,103,1.93578345549945e-62,"treatment20C"
"treatment20C...104",-0.457861884906239,104,1.77617881204079e-79,"treatment20C"
"treatment20C...105",-0.235039961238632,105,1.03008796216667e-21,"treatment20C"
"treatment20C...106",-0.578886478031347,106,7.87830786767788e-122,"treatment20C"
"treatment20C...107",-0.386477645963671,107,7.27689098934756e-55,"treatment20C"
"treatment20C...108",-0.425433435537471,108,7.52194628306437e-68,"treatment20C"
"treatment20C...109",-0.430659246148034,109,1.69816349867391e-72,"treatment20C"
"treatment20C...110",-0.550262915786745,110,1.49115251320006e-110,"treatment20C"
"treatment20C...111",-0.410651867082361,111,3.09362800148509e-69,"treatment20C"
"treatment20C...112",-0.632256709210035,112,2.53892913502392e-142,"treatment20C"
"treatment20C...113",-0.528927661200969,113,4.14354679964455e-111,"treatment20C"
"treatment20C...114",-0.48898827078427,114,1.84327563946581e-85,"treatment20C"
"treatment20C...115",-0.439811640741103,115,6.57580711224293e-76,"treatment20C"
"treatment20C...116",-0.494926437746072,116,7.64988634078422e-85,"treatment20C"
"treatment20C...117",-0.590711511978695,117,1.17722757386538e-135,"treatment20C"
"treatment20C...118",-0.584780338631298,118,9.69794658404893e-130,"treatment20C"
"treatment20C...119",-0.45713357614287,119,1.03594219050369e-82,"treatment20C"
"treatment20C...120",-0.755650714867215,120,8.9283207357304e-191,"treatment20C"
"treatment20C...121",-0.380214625736403,121,6.60583935990782e-56,"treatment20C"
"treatment20C...122",-0.529019026155423,122,5.02399457845768e-107,"treatment20C"
"treatment20C...123",-0.233204225347552,123,9.68122814159846e-24,"treatment20C"
"treatment20C...124",-0.294500596815152,124,1.45342377688024e-31,"treatment20C"
"treatment20C...125",-0.632196875859221,125,3.29975921674037e-154,"treatment20C"
"treatment20C...126",-0.485273128962382,126,1.80723915895434e-87,"treatment20C"
"treatment20C...127",-0.493699036239452,127,2.37577408544296e-90,"treatment20C"
"treatment20C...128",-0.400886087242342,128,4.82862659552238e-57,"treatment20C"
"treatment20C...129",-0.583744091207597,129,9.36729901275729e-116,"treatment20C"
"treatment20C...130",-0.641613048046202,130,2.82529268498141e-151,"treatment20C"
"treatment20C...131",-0.617089788312637,131,3.69081922760885e-138,"treatment20C"
"treatment20C...132",-0.458415855928821,132,3.53823003690847e-86,"treatment20C"
"treatment20C...133",-0.492634437441464,133,5.64775057847099e-86,"treatment20C"
"treatment20C...134",-0.420505064596859,134,4.68446138990339e-69,"treatment20C"
"treatment20C...135",-0.500028145010819,135,1.15455363815384e-91,"treatment20C"
"treatment20C...136",-0.645501365577527,136,3.49951570426899e-142,"treatment20C"
"treatment20C...137",-0.266512352066333,137,5.45525019496215e-28,"treatment20C"
"treatment20C...138",-0.411343495582984,138,2.86568273909828e-62,"treatment20C"
"treatment20C...139",-0.438823319418353,139,1.68305703553962e-73,"treatment20C"
"treatment20C...140",-0.395287951302524,140,1.75631208648662e-55,"treatment20C"
"treatment20C...141",-0.585735411842377,141,3.84943551600409e-113,"treatment20C"
"treatment20C...142",-0.304176789985299,142,2.05173300314489e-34,"treatment20C"
"treatment20C...143",-0.447767596036058,143,6.27820971537744e-81,"treatment20C"
"treatment20C...144",-0.483903136874459,144,1.95320264148565e-87,"treatment20C"
"treatment20C...145",-0.217964867454057,145,7.88817913788279e-20,"treatment20C"
"treatment20C...146",-0.57711510855545,146,1.13507558277913e-132,"treatment20C"
"treatment20C...147",-0.606610955100946,147,2.51413296565849e-135,"treatment20C"
"treatment20C...148",-0.694581889490192,148,1.42504692755054e-160,"treatment20C"
"treatment20C...149",-0.374785714070712,149,7.3701766629254e-54,"treatment20C"
"treatment20C...150",-0.424398096636761,150,5.61151405055581e-68,"treatment20C"
"treatment20C...151",-0.527724663036965,151,5.03599378422809e-106,"treatment20C"
"treatment20C...152",-0.724736320219554,152,1.96309075218754e-179,"treatment20C"
"treatment20C...153",-0.404224767314733,153,9.82007419113722e-70,"treatment20C"
"treatment20C...154",-0.486528661432563,154,3.04465725505085e-85,"treatment20C"
"treatment20C...155",-0.42496124672887,155,3.00982447420735e-74,"treatment20C"
"treatment20C...156",-0.427823057267613,156,1.74178563026467e-67,"treatment20C"
"treatment20C...157",-0.275649738164371,157,4.64228493161852e-30,"treatment20C"
"treatment20C...158",-0.336035096259016,158,1.16263344976612e-48,"treatment20C"
"treatment20C...159",-0.528703418209649,159,1.75333789888322e-99,"treatment20C"
"treatment20C...160",-0.432364446764899,160,3.20901754762613e-68,"treatment20C"
"treatment20C...161",-0.755766801211699,161,1.39809472372919e-197,"treatment20C"
"treatment20C...162",-0.558749144337063,162,4.5686297432657e-117,"treatment20C"
"treatment20C...163",-0.478748938424747,163,3.16508284794771e-86,"treatment20C"
"treatment20C...164",-0.516934151299621,164,2.69672629279827e-101,"treatment20C"
"treatment20C...165",-0.478634853720146,165,3.17568352228585e-81,"treatment20C"
"treatment20C...166",-0.535819638034456,166,1.90597833416555e-106,"treatment20C"
"treatment20C...167",-0.247897463732572,167,1.37081626640983e-27,"treatment20C"
"treatment20C...168",-0.334287746260559,168,3.53864989455906e-49,"treatment20C"
"treatment20C...169",-0.437096713724796,169,1.75789533622091e-72,"treatment20C"
"treatment20C...170",-0.464877487971741,170,3.17734333983109e-79,"treatment20C"
"treatment20C...171",-0.518609702852173,171,7.64939925751898e-101,"treatment20C"
"treatment20C...172",-0.417140154979865,172,1.45367502396281e-68,"treatment20C"
"treatment20C...173",-0.593491755795189,173,1.20057785545787e-131,"treatment20C"
"treatment20C...174",-0.430819595122829,174,4.18209791388148e-66,"treatment20C"
"treatment20C...175",-0.576852262137713,175,5.4511463780157e-123,"treatment20C"
"treatment20C...176",-0.646153598183938,176,1.5588697096231e-149,"treatment20C"
"treatment20C...177",-0.746955197051674,177,3.11317359769158e-196,"treatment20C"
"treatment20C...178",-0.467415229206394,178,1.83737320237983e-91,"treatment20C"
"treatment20C...179",-0.57371196295606,179,1.2235357030261e-125,"treatment20C"
"treatment20C...180",-0.562786391786141,180,2.25329223193685e-122,"treatment20C"
"treatment20C...181",-0.438148329458208,181,6.57035768433801e-77,"treatment20C"
"treatment20C...182",-0.436888514027865,182,1.29516597423629e-78,"treatment20C"
