"","coefficients","replicate","pval","treatment_site"
"treatment20C...1",-0.496125465281243,1,2.94861887670831e-73,"treatment20C"
"siteCI5...2",0.0406140505649278,1,0.103730464653511,"siteCI5"
"siteDB...3",-0.460779939159569,1,2.24122719151659e-78,"siteDB"
"sitePW...4",-0.311605561149348,1,1.23230836380769e-37,"sitePW"
"treatment20C:siteCI5...5",0.101986632820737,1,0.00579454050168878,"treatment20C:siteCI5"
"treatment20C:siteDB...6",0.273575015080928,1,4.77676587575964e-14,"treatment20C:siteDB"
"treatment20C:sitePW...7",0.0183713894195557,1,0.614128590224536,"treatment20C:sitePW"
"treatment20C...8",-0.598961650400349,2,6.35614680552857e-100,"treatment20C"
"siteCI5...9",0.195738066852057,2,3.64798222912696e-15,"siteCI5"
"siteDB...10",-0.480510549253061,2,4.22566936461979e-80,"siteDB"
"sitePW...11",-0.363509615785183,2,1.79737049931253e-47,"sitePW"
"treatment20C:siteCI5...12",0.188480580396625,2,4.03549952712308e-07,"treatment20C:siteCI5"
"treatment20C:siteDB...13",0.423706639021091,2,2.02470222166328e-29,"treatment20C:siteDB"
"treatment20C:sitePW...14",0.18761272338459,2,6.39742766499505e-07,"treatment20C:sitePW"
"treatment20C...15",-0.682728117919433,3,1.19490966867503e-134,"treatment20C"
"siteCI5...16",0.138826994574743,3,2.55896447160155e-09,"siteCI5"
"siteDB...17",-0.538737723687746,3,2.01120278458988e-110,"siteDB"
"sitePW...18",-0.509110836143406,3,1.38328755284401e-97,"sitePW"
"treatment20C:siteCI5...19",0.0580437590587941,3,0.115897320122774,"treatment20C:siteCI5"
"treatment20C:siteDB...20",0.289638498415163,3,1.22843811218902e-14,"treatment20C:siteDB"
"treatment20C:sitePW...21",0.312681454681941,3,2.84940738627388e-17,"treatment20C:sitePW"
"treatment20C...22",-0.716243510468098,4,2.32066373198311e-148,"treatment20C"
"siteCI5...23",-0.0857115272383214,4,0.000469077265527257,"siteCI5"
"siteDB...24",-0.598828199660696,4,1.15165366565142e-131,"siteDB"
