,coefficients,replicate,pval,treatment_site
treatment20C...1,-0.522564877,1,1.05E-103,treatment20C
siteCI5...2,NA,1,NA,siteCI5
siteDB...3,NA,1,NA,siteDB
sitePW...4,NA,1,NA,sitePW
treatment20C:siteCI5...5,NA,1,NA,treatment20C:siteCI5
treatment20C:siteDB...6,NA,1,NA,treatment20C:siteDB
treatment20C:sitePW...7,NA,1,NA,treatment20C:sitePW
treatment20C...8,-0.452119478,2,1.97E-72,treatment20C
siteCI5...9,NA,2,NA,siteCI5
siteDB...10,NA,2,NA,siteDB
sitePW...11,NA,2,NA,sitePW
treatment20C:siteCI5...12,NA,2,NA,treatment20C:siteCI5
treatment20C:siteDB...13,NA,2,NA,treatment20C:siteDB
treatment20C:sitePW...14,NA,2,NA,treatment20C:sitePW
treatment20C...15,-0.400367474,3,4.29E-59,treatment20C
siteCI5...16,NA,3,NA,siteCI5
siteDB...17,NA,3,NA,siteDB
sitePW...18,NA,3,NA,sitePW
treatment20C:siteCI5...19,NA,3,NA,treatment20C:siteCI5
treatment20C:siteDB...20,NA,3,NA,treatment20C:siteDB
treatment20C:sitePW...21,NA,3,NA,treatment20C:sitePW
treatment20C...22,-0.519102078,4,1.54E-104,treatment20C
siteCI5...23,NA,4,NA,siteCI5
siteDB...24,NA,4,NA,siteDB
sitePW...25,NA,4,NA,sitePW
treatment20C:siteCI5...26,NA,4,NA,treatment20C:siteCI5
treatment20C:siteDB...27,NA,4,NA,treatment20C:siteDB
treatment20C:sitePW...28,NA,4,NA,treatment20C:sitePW
treatment20C...29,-0.316445318,5,1.13E-38,treatment20C
siteCI5...30,NA,5,NA,siteCI5
siteDB...31,NA,5,NA,siteDB
sitePW...32,NA,5,NA,sitePW
treatment20C:siteCI5...33,NA,5,NA,treatment20C:siteCI5
treatment20C:siteDB...34,NA,5,NA,treatment20C:siteDB
treatment20C:sitePW...35,NA,5,NA,treatment20C:sitePW
treatment20C...36,-0.351492652,6,2.25E-48,treatment20C
siteCI5...37,NA,6,NA,siteCI5
siteDB...38,NA,6,NA,siteDB
sitePW...39,NA,6,NA,sitePW
treatment20C:siteCI5...40,NA,6,NA,treatment20C:siteCI5
treatment20C:siteDB...41,NA,6,NA,treatment20C:siteDB
treatment20C:sitePW...42,NA,6,NA,treatment20C:sitePW
treatment20C...43,-0.484193153,7,2.57E-87,treatment20C
siteCI5...44,NA,7,NA,siteCI5
siteDB...45,NA,7,NA,siteDB
sitePW...46,NA,7,NA,sitePW
treatment20C:siteCI5...47,NA,7,NA,treatment20C:siteCI5
treatment20C:siteDB...48,NA,7,NA,treatment20C:siteDB
treatment20C:sitePW...49,NA,7,NA,treatment20C:sitePW
