day,raw_count,sim_count,jar_id,rep_id,treatment,site,
1,38,647,1,1,14C,CI20,
4,16,284,1,1,14C,CI20,
7,8,245,1,1,14C,CI20,
10,7,137,1,1,14C,CI20,
14,5,129,1,1,14C,CI20,
1,38,697,1,2,14C,CI20,
4,16,263,1,2,14C,CI20,
7,8,146,1,2,14C,CI20,
10,7,117,1,2,14C,CI20,
14,5,37,1,2,14C,CI20,
1,38,695,1,3,14C,CI20,
4,16,251,1,3,14C,CI20,
7,8,201,1,3,14C,CI20,
10,7,101,1,3,14C,CI20,
14,5,54,1,3,14C,CI20,
1,38,540,1,4,14C,CI20,
4,16,207,1,4,14C,CI20,
7,8,118,1,4,14C,CI20,
10,7,90,1,4,14C,CI20,
14,5,88,1,4,14C,CI20,
1,38,649,1,5,14C,CI20,
4,16,308,1,5,14C,CI20,
7,8,190,1,5,14C,CI20,
10,7,86,1,5,14C,CI20,
14,5,36,1,5,14C,CI20,
1,38,603,1,6,14C,CI20,
4,16,294,1,6,14C,CI20,
7,8,167,1,6,14C,CI20,
10,7,92,1,6,14C,CI20,
14,5,91,1,6,14C,CI20,
1,38,595,1,7,14C,CI20,
4,16,250,1,7,14C,CI20,
7,8,215,1,7,14C,CI20,
10,7,113,1,7,14C,CI20,
14,5,82,1,7,14C,CI20,
1,38,704,1,8,14C,CI20,
4,16,199,1,8,14C,CI20,
7,8,152,1,8,14C,CI20,
10,7,121,1,8,14C,CI20,
14,5,87,1,8,14C,CI20,
1,38,554,1,9,14C,CI20,
4,16,257,1,9,14C,CI20,
7,8,96,1,9,14C,CI20,
10,7,86,1,9,14C,CI20,
14,5,69,1,9,14C,CI20,
1,38,668,1,10,14C,CI20,
4,16,204,1,10,14C,CI20,
7,8,189,1,10,14C,CI20,
10,7,107,1,10,14C,CI20,
14,5,79,1,10,14C,CI20,
1,38,679,1,11,14C,CI20,
4,16,463,1,11,14C,CI20,
7,8,152,1,11,14C,CI20,
10,7,145,1,11,14C,CI20,
14,5,92,1,11,14C,CI20,
1,38,653,1,12,14C,CI20,
4,16,337,1,12,14C,CI20,
7,8,260,1,12,14C,CI20,
10,7,213,1,12,14C,CI20,
14,5,107,1,12,14C,CI20,
1,38,596,1,13,14C,CI20,
4,16,339,1,13,14C,CI20,
7,8,155,1,13,14C,CI20,
10,7,95,1,13,14C,CI20,
14,5,45,1,13,14C,CI20,
1,38,537,1,14,14C,CI20,
4,16,367,1,14,14C,CI20,
7,8,182,1,14,14C,CI20,
10,7,173,1,14,14C,CI20,
14,5,87,1,14,14C,CI20,
1,38,544,1,15,14C,CI20,
4,16,329,1,15,14C,CI20,
7,8,120,1,15,14C,CI20,
10,7,80,1,15,14C,CI20,
14,5,68,1,15,14C,CI20,
1,38,683,1,16,14C,CI20,
4,16,198,1,16,14C,CI20,
7,8,179,1,16,14C,CI20,
10,7,179,1,16,14C,CI20,
14,5,119,1,16,14C,CI20,
1,38,632,1,17,14C,CI20,
4,16,225,1,17,14C,CI20,
7,8,189,1,17,14C,CI20,
10,7,100,1,17,14C,CI20,
14,5,93,1,17,14C,CI20,
1,38,688,1,18,14C,CI20,
4,16,227,1,18,14C,CI20,
7,8,149,1,18,14C,CI20,
10,7,101,1,18,14C,CI20,
14,5,79,1,18,14C,CI20,
1,38,578,1,19,14C,CI20,
4,16,442,1,19,14C,CI20,
7,8,176,1,19,14C,CI20,
10,7,108,1,19,14C,CI20,
14,5,101,1,19,14C,CI20,
1,38,759,1,20,14C,CI20,
4,16,366,1,20,14C,CI20,
7,8,135,1,20,14C,CI20,
10,7,118,1,20,14C,CI20,
14,5,85,1,20,14C,CI20,
1,38,532,1,21,14C,CI20,
4,16,261,1,21,14C,CI20,
7,8,132,1,21,14C,CI20,
10,7,112,1,21,14C,CI20,
14,5,42,1,21,14C,CI20,
1,38,740,1,22,14C,CI20,
4,16,237,1,22,14C,CI20,
7,8,187,1,22,14C,CI20,
10,7,129,1,22,14C,CI20,
14,5,93,1,22,14C,CI20,
1,38,746,1,23,14C,CI20,
4,16,316,1,23,14C,CI20,
7,8,222,1,23,14C,CI20,
10,7,170,1,23,14C,CI20,
14,5,62,1,23,14C,CI20,
1,38,650,1,24,14C,CI20,
4,16,394,1,24,14C,CI20,
7,8,207,1,24,14C,CI20,
10,7,130,1,24,14C,CI20,
14,5,84,1,24,14C,CI20,
1,38,595,1,25,14C,CI20,
4,16,258,1,25,14C,CI20,
7,8,152,1,25,14C,CI20,
10,7,143,1,25,14C,CI20,
14,5,103,1,25,14C,CI20,
1,38,702,1,26,14C,CI20,
4,16,283,1,26,14C,CI20,
7,8,179,1,26,14C,CI20,
10,7,126,1,26,14C,CI20,
14,5,85,1,26,14C,CI20,
1,38,455,1,27,14C,CI20,
4,16,224,1,27,14C,CI20,
7,8,124,1,27,14C,CI20,
10,7,71,1,27,14C,CI20,
14,5,52,1,27,14C,CI20,
1,38,603,1,28,14C,CI20,
4,16,419,1,28,14C,CI20,
7,8,133,1,28,14C,CI20,
10,7,115,1,28,14C,CI20,
14,5,88,1,28,14C,CI20,
1,38,753,1,29,14C,CI20,
4,16,237,1,29,14C,CI20,
7,8,158,1,29,14C,CI20,
10,7,153,1,29,14C,CI20,
14,5,94,1,29,14C,CI20,
1,38,554,1,30,14C,CI20,
4,16,275,1,30,14C,CI20,
7,8,157,1,30,14C,CI20,
10,7,151,1,30,14C,CI20,
14,5,109,1,30,14C,CI20,
1,38,609,1,31,14C,CI20,
4,16,291,1,31,14C,CI20,
7,8,178,1,31,14C,CI20,
10,7,62,1,31,14C,CI20,
14,5,58,1,31,14C,CI20,
1,38,765,1,32,14C,CI20,
4,16,375,1,32,14C,CI20,
7,8,153,1,32,14C,CI20,
10,7,86,1,32,14C,CI20,
14,5,59,1,32,14C,CI20,
1,38,921,1,33,14C,CI20,
4,16,383,1,33,14C,CI20,
7,8,180,1,33,14C,CI20,
10,7,113,1,33,14C,CI20,
14,5,109,1,33,14C,CI20,
1,38,537,1,34,14C,CI20,
4,16,367,1,34,14C,CI20,
7,8,124,1,34,14C,CI20,
10,7,103,1,34,14C,CI20,
14,5,51,1,34,14C,CI20,
1,38,512,1,35,14C,CI20,
4,16,219,1,35,14C,CI20,
7,8,175,1,35,14C,CI20,
10,7,95,1,35,14C,CI20,
14,5,66,1,35,14C,CI20,
1,38,698,1,36,14C,CI20,
4,16,331,1,36,14C,CI20,
7,8,133,1,36,14C,CI20,
10,7,131,1,36,14C,CI20,
14,5,97,1,36,14C,CI20,
1,38,520,1,37,14C,CI20,
4,16,238,1,37,14C,CI20,
7,8,212,1,37,14C,CI20,
10,7,127,1,37,14C,CI20,
14,5,76,1,37,14C,CI20,
1,38,968,1,38,14C,CI20,
4,16,341,1,38,14C,CI20,
7,8,151,1,38,14C,CI20,
10,7,101,1,38,14C,CI20,
14,5,83,1,38,14C,CI20,
1,38,640,1,39,14C,CI20,
4,16,351,1,39,14C,CI20,
7,8,195,1,39,14C,CI20,
10,7,184,1,39,14C,CI20,
14,5,138,1,39,14C,CI20,
1,38,595,1,40,14C,CI20,
4,16,244,1,40,14C,CI20,
7,8,237,1,40,14C,CI20,
10,7,132,1,40,14C,CI20,
14,5,118,1,40,14C,CI20,
1,38,682,1,41,14C,CI20,
4,16,272,1,41,14C,CI20,
7,8,199,1,41,14C,CI20,
10,7,120,1,41,14C,CI20,
14,5,114,1,41,14C,CI20,
1,38,669,1,42,14C,CI20,
4,16,367,1,42,14C,CI20,
7,8,170,1,42,14C,CI20,
10,7,160,1,42,14C,CI20,
14,5,97,1,42,14C,CI20,
1,38,555,1,43,14C,CI20,
4,16,282,1,43,14C,CI20,
7,8,152,1,43,14C,CI20,
10,7,117,1,43,14C,CI20,
14,5,62,1,43,14C,CI20,
1,38,642,1,44,14C,CI20,
4,16,286,1,44,14C,CI20,
7,8,166,1,44,14C,CI20,
10,7,113,1,44,14C,CI20,
14,5,85,1,44,14C,CI20,
1,38,724,1,45,14C,CI20,
4,16,233,1,45,14C,CI20,
7,8,233,1,45,14C,CI20,
10,7,128,1,45,14C,CI20,
14,5,106,1,45,14C,CI20,
1,38,641,1,46,14C,CI20,
4,16,241,1,46,14C,CI20,
7,8,139,1,46,14C,CI20,
10,7,126,1,46,14C,CI20,
14,5,71,1,46,14C,CI20,
1,38,628,1,47,14C,CI20,
4,16,298,1,47,14C,CI20,
7,8,186,1,47,14C,CI20,
10,7,133,1,47,14C,CI20,
14,5,132,1,47,14C,CI20,
1,38,438,1,48,14C,CI20,
4,16,202,1,48,14C,CI20,
7,8,183,1,48,14C,CI20,
10,7,147,1,48,14C,CI20,
14,5,102,1,48,14C,CI20,
1,38,766,1,49,14C,CI20,
4,16,283,1,49,14C,CI20,
7,8,196,1,49,14C,CI20,
10,7,129,1,49,14C,CI20,
14,5,74,1,49,14C,CI20,
1,38,709,1,50,14C,CI20,
4,16,286,1,50,14C,CI20,
7,8,101,1,50,14C,CI20,
10,7,81,1,50,14C,CI20,
14,5,79,1,50,14C,CI20,
1,38,552,1,51,14C,CI20,
4,16,292,1,51,14C,CI20,
7,8,203,1,51,14C,CI20,
10,7,139,1,51,14C,CI20,
14,5,74,1,51,14C,CI20,
1,38,745,1,52,14C,CI20,
4,16,308,1,52,14C,CI20,
7,8,181,1,52,14C,CI20,
10,7,79,1,52,14C,CI20,
14,5,69,1,52,14C,CI20,
1,38,805,1,53,14C,CI20,
4,16,292,1,53,14C,CI20,
7,8,220,1,53,14C,CI20,
10,7,147,1,53,14C,CI20,
14,5,82,1,53,14C,CI20,
1,38,593,1,54,14C,CI20,
